PHYLUM,CLASS,ORDER,SPECIES
Ascomycota,Leotiomycetes,Helotiales,Symphyosirinia angelicae
Basidiomycota,Agaricomycetes,Agaricales,Phaeomarasmius rimulincola
Ascomycota,Dothideomycetes,Capnodiales,Cercosporidium graminis
Ascomycota,Dothideomycetes,Capnodiales,Ramularia picridis
Mucoromycota,Mucoromycetes,Mucorales,Absidia coerulea
Ascomycota,Dothideomycetes,Capnodiales,Ramularia chamaedryos
Ascomycota,Pezizomycetes,Pezizales,Peziza fortoulii
Amoebozoa,Myxogastrea,Stemonitida,Diderma microcarpum
Ascomycota,Pezizomycetes,Pezizales,Thecotheus himalayensis
Ascomycota,Dothideomycetes,Pleosporales,Periconia byssoides
Ascomycota,Eurotiomycetes,Mycocaliciales,Chaenothecopsis nigra
Ascomycota,Arthoniomycetes,Arthoniales,Opegrapha rupestris
Amoebozoa,Myxogastrea,Stemonitida,Lamproderma ovoideoechinulatum
Ascomycota,Dothideomycetes,Incertae sedis,Bactrodesmium pallidum
Ascomycota,Sordariomycetes,Hypocreales,Cylindrium elongatum
Ascomycota,Pezizomycetes,Pezizales,Thecotheus keithii
Ascomycota,Incertae sedis,Incertae sedis,Actinocladium rhodosporum
Ascomycota,Leotiomycetes,Helotiales,Chalara cylindrosperma
Ascomycota,Incertae sedis,Incertae sedis,Polyscytalum fecundissimum
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe amoenolens
Ascomycota,Dothideomycetes,Myriangiales,Myriangium duriaei
Ascomycota,Dothideomycetes,Microthyriales,Microthyrium microscopicum
Ascomycota,Eurotiomycetes,Mycocaliciales,Chaenothecopsis montana
Ascomycota,Dothideomycetes,Tubeufiales,Helicoma spec.
Basidiomycota,Agaricomycetes,Agaricales,Hymenogaster citrinus
Ascomycota,Sordariomycetes,Diaporthales,Diaporthe perniciosa
Basidiomycota,Pucciniomycetes,Pucciniales,Aecidium spec.
Ascomycota,Dothideomycetes,Incertae sedis,Leptopeltis spec.
Basidiomycota,Agaricomycetes,Agaricales,Inocybe aeruginascens
Ascomycota,Dothideomycetes,Pleosporales,Stagonospora foliicola
Ascomycota,Dothideomycetes,Botryosphaeriales,Diplodia buxi
Ascomycota,Dothideomycetes,Pleosporales,Cucurbitaria cytisi
Ascomycota,Sordariomycetes,Hypocreales,Acremonium alternatum
Ascomycota,Leotiomycetes,Helotiales,Mollisia fuscostriata
Ascomycota,Sordariomycetes,Hypocreales,Fusarium spec.
Ascomycota,Sordariomycetes,Sordariales,Spadicoides grovei
Ascomycota,Dothideomycetes,Pleosporales,Ascochyta deformis
Ascomycota,Sordariomycetes,Amphisphaeriales,Ceratosporium fuscescens
Ascomycota,Sordariomycetes,Amphisphaeriales,Discosia spec.
Ascomycota,Sordariomycetes,Hypocreales,Sesquicillium buxi
Basidiomycota,Agaricomycetes,Agaricales,Leucopaxillus subzonalis
Basidiomycota,Tremellomycetes,Tremellales,Tremella virescens
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius aureobtusus
Ascomycota,Dothideomycetes,Botryosphaeriales,Dothiorella spec.
Oomycota,Peronosporea,Peronosporales,Peronospora conglomerata
Ascomycota,Dothideomycetes,Pleosporales,Monascostroma innumerosum
Ascomycota,Dothideomycetes,Capnodiales,Stigmina glomerulosa
Ascomycota,Dothideomycetes,Capnodiales,Antennularia salisburgensis
Basidiomycota,Agaricomycetes,Boletales,Leccinum leuphaeum
Ascomycota,Sordariomycetes,Chaetosphaeriales,Menispora glauca
Ascomycota,Sordariomycetes,Hypocreales,Trichoderma polysporum
Mucoromycota,Mucoromycetes,Mucorales,Thamnidium elegans
Ascomycota,Sordariomycetes,Hypocreales,Trichoderma hamatum
Ascomycota,Sordariomycetes,Incertae sedis,Arthrinium spec.
Ascomycota,Pezizomycetes,Pezizales,Ascobolus elegans
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia absinthii
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius pseudocaninus
Basidiomycota,Agaricomycetes,Polyporales,Phlebiella romellii
Ascomycota,Sordariomycetes,Amphisphaeriales,Pestalotiopsis sydowiana
Ascomycota,Sordariomycetes,Sordariales,Zygospermella insignis
Basidiomycota,Agaricomycetes,Agaricales,Tephrocybe fibrosipes
Basidiomycota,Agaricomycetes,Boletales,Leccinum umbrinoides
Ascomycota,Pezizomycetes,Pezizales,Ascobolus nodulosporus
Basidiomycota,Agaricomycetes,Agaricales,Melanoleuca curtipes
Ascomycota,Leotiomycetes,Helotiales,Lasiobelonium lanceolatum
Basidiomycota,Agaricomycetes,Russulales,Russula rutila
Basidiomycota,Agaricomycetes,Agaricales,Mycena tenuispinosa
Ascomycota,Leotiomycetes,Rhytismatales,Urceolella winteriana
Ascomycota,Sordariomycetes,Hypocreales,Nectria tuberculariformis
Ascomycota,Dothideomycetes,Pleosporales,Ascochyta equiseti
Ascomycota,Sordariomycetes,Amphisphaeriales,Pestalotiopsis versicolor
Ascomycota,Leotiomycetes,Erysiphales,Erysiphe pyrenaica
Ascomycota,Dothideomycetes,Incertae sedis,Fenestella salicis
Basidiomycota,Agaricomycetes,Agaricales,Melanoleuca tabularis
Basidiomycota,Agaricomycetes,Cantharellales,Sistotrema gloeocystidiatum
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia salviae
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia calthae
Basidiomycota,Agaricomycetes,Agaricales,Lyophyllum conocephalum
Ascomycota,Eurotiomycetes,Eurotiales,Elaphomyces maculatus
Basidiomycota,Agaricomycetes,Auriculariales,Eichleriella alliciens
Ascomycota,Leotiomycetes,Helotiales,Dasyscyphus aeruginellus
Ascomycota,Incertae sedis,Incertae sedis,Tridentaria spec.
Ascomycota,Sordariomycetes,Sordariales,Sordaria humana
Mucoromycota,Mucoromycetes,Mucorales,Mucor mucedo
Ascomycota,Dothideomycetes,Incertae sedis,Sporidesmium coronatum
Oomycota,Peronosporea,Peronosporales,Peronospora potentillae-sterilis
Ascomycota,Dothideomycetes,Tubeufiales,Troposporella fumosa
Basidiomycota,Agaricomycetes,Hysterangiales,Trappea darkeri
Ascomycota,Leotiomycetes,Helotiales,Hymenoscyphus humuli
Basidiomycota,Pucciniomycetes,Pucciniales,Hyalopsora aspidiotus
Basidiomycota,Pucciniomycetes,Pucciniales,Uromyces minor
Ascomycota,Sordariomycetes,Xylariales,Anthostoma amoenum
Ascomycota,Dothideomycetes,Botryosphaeriales,Microdiplodia spec.
Ascomycota,Sordariomycetes,Diaporthales,Valsa spec.
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius rugosus
Ascomycota,Leotiomycetes,Chaetomellales,Pilidium concavum
Ascomycota,Dothideomycetes,Capnodiales,Ramularia filaris
Ascomycota,Dothideomycetes,Capnodiales,Ramularia adoxae
Ascomycota,Dothideomycetes,Venturiales,Venturia macularis
Ascomycota,Leotiomycetes,Helotiales,Cyathicula complicata
Amoebozoa,Myxogastrea,Physarida,Physarum conglomeratum
Glomeromycota,Glomeromycetes,Glomerales,Glomus macrocarpum
Basidiomycota,Agaricomycetes,Agaricales,Inocybe luteipes
Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbenia elaphri
Ascomycota,Leotiomycetes,Helotiales,Chalara hughesii
Ascomycota,Dothideomycetes,Capnodiales,Cladosporium cladosporioides
Basidiomycota,Agaricomycetes,Agaricales,Pholiotina aeruginosa
Ascomycota,Dothideomycetes,Capnodiales,Ramularia sphaeroidea
Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbenia acupalpi
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius speciosior
Ascomycota,Leotiomycetes,Helotiales,Hyaloscypha strobilicola
Basidiomycota,Agaricomycetes,Gomphales,Ramaria praecox
Ascomycota,Leotiomycetes,Helotiales,Cyathicula pteridicola
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius muricinus
Basidiomycota,Agaricomycetes,Agaricales,Pleurotus calyptratus
Basidiomycota,Agaricomycetes,Agaricales,Mycena fuligineopapillata
Amoebozoa,Myxogastrea,Stemonitida,Diderma umbilicatum
Basidiomycota,Agaricomycetes,Agaricales,Coprinopsis tigrinella
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius humolens
Ascomycota,Leotiomycetes,Helotiales,Monilinia fructigena
Basidiomycota,Agaricomycetes,Agaricales,Coprinellus pellucidus
Basidiomycota,Agaricomycetes,Polyporales,Phlebia pallidolivens
Amoebozoa,Myxogastrea,Stemonitida,Lamproderma columbinum
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius pansa
Ascomycota,Dothideomycetes,Capnodiales,Septoria spec.
Basidiomycota,Agaricomycetes,Agaricales,Lepiota kuehneriana
Basidiomycota,Agaricomycetes,Russulales,Russula gilva
Amoebozoa,Myxogastrea,Trichiida,Trichia crateriformis
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella vestita
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius lux-nymphae
Basidiomycota,Agaricomycetes,Agaricales,Agaricus annae
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella pseudocasca
Basidiomycota,Agaricomycetes,Agaricales,Sericeomyces subglobisporus
Ascomycota,Leotiomycetes,Helotiales,Ciborinia hirtella
Basidiomycota,Agaricomycetes,Agaricales,Mycena magnicystidiosa
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius semivestitus
Basidiomycota,Agaricomycetes,Agaricales,Mycena lohwagii
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius insignibulbus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius lepidopus
Basidiomycota,Agaricomycetes,Russulales,Russula vinosopurpurea
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius olidoamarus
Basidiomycota,Agaricomycetes,Agaricales,Lyophyllum tenebrosum
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius velenovskyi
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella microlepidota
Basidiomycota,Agaricomycetes,Polyporales,Phanerochaete flabelliradiata
Basidiomycota,Agaricomycetes,Agaricales,Melanoleuca griseofumosa
Basidiomycota,Agaricomycetes,Agaricales,Entoloma cocles
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe metachroides
Basidiomycota,Agaricomycetes,Atheliales,Athelia lacerata
Basidiomycota,Agaricomycetes,Agaricales,Mycena juncicola
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius phaeochrous
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella amstelodamensis
Basidiomycota,Agaricomycetes,Agaricales,Bovista pusilliformis
Basidiomycota,Agaricomycetes,Sebacinales,Sebacina cinerea
Basidiomycota,Agaricomycetes,Gomphales,Lentaria micheneri
Basidiomycota,Agaricomycetes,Agaricales,Lepiota coxheadii
Basidiomycota,Agaricomycetes,Polyporales,Phanerochaete jose-ferreirae
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius basiroseus
Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeria heptamera
Ascomycota,Geoglossomycetes,Geoglossales,Nothomitra cinnamomea
Arthropoda,Diplopoda,Julida,Nopoiulus kochii
Arthropoda,Diplopoda,Chordeumatida,Atractosoma meridionale
Arthropoda,Diplopoda,Chordeumatida,Melogona scutellaris
Arthropoda,Diplopoda,Chordeumatida,Orthochordeumella fulva
Arthropoda,Diplopoda,Glomerida,Simplomeris montivaga
Arthropoda,Diplopoda,Chordeumatida,Pterygophorosoma alticola
Arthropoda,Diplopoda,Chordeumatida,Melogona voigtii
