Species,Taxon,Body Mass,LTNZ,UTNZ,TNZ,Latitude,Longitude,Acclimatization*,Reference
,,(g),(°C),(°C),(°C),(°N),(°W),,
Liomys salvini,Heteromyidae,43.8,31,34,3,12.08,-86.15,W,Hudson and Rummel 1966
Liomys irroratus,Heteromyidae,48.1,31,34,3,27.06,-99.32,W,Hudson and Rummel 1966
,,,,,,,,,
Heteromys anomalus,Heteromyidae,69.3,26,33,7,9.1,-64.37,W,McNab 1979
Dipodomys deserti,Heteromyidae,106,28.5,35,6.5,35.46,-119.49,W,McNab 1979
Chaetodipus hispidus,Heteromyidae,35.8,30.5,33.5,3,27.59,-97.312,W,Wang and Hudson 1970
Hystrix africaeaustralis,Hystricidae,10700,24,27,3,-32.22,22.11,A,"Haim et al ., 1990"
Abrothrix longipilis,Muridae,42.3,27.3,32,4.7,-45.541,-71.221,W,Bozinovic and Rosenmann 1988
Abrothrix andinus,Muridae,34.6,26.8,34,7.2,-34.462,-71.224,W,Bozinovic and Rosenmann 1988
Auliscomys boliviensis,Muridae,76.8,22.7,31,8.3,-34.461,-71.225,W,Bozinovic and Rosenmann 1988
Micaelamys namaquensis,Muridae,64.2,26.39,34.49,8.1,-25.68,20.33,A,Buffenstein 1984
Gerbillurus paeba,Muridae,33.9,32.3,35.1,2.8,-23.29,15.32,A,Buffenstein 1984
Gerbillus pusillus,Muridae,12.6,31.4,38,6.6,0.38,37.47,W,Buffenstein and Jarvis 1985
Mus musculus,Muridae,46,27,33,6,42.445,-76.5,A,Buffenstein and Jarvis 1985
Rattus fuscipes,Muridae,76,28.1,32.9,4.8,-30.17,115.02,A,Collins 1973
Rattus villosissimus,Muridae,250.6,30,35,5,-22.59,131.54,W,Collins and Brdshaw 1973
Akodon azarae,Muridae,23.5,30,32,2,44.18,-85.36,A,Dalby and Heath 1976
Gerbillurus setzeri,Muridae,46.1,32.2,34.8,2.6,-24.08,14.98,W,"Dempster et al .,1998"
Gerbillurus vallinus,Muridae,38.8,33.1,35,2.9,-22.52,17.07,W,"Dempster et al .,1999"
Gerbillurus tytonis,Muridae,29.9,32.4,34.9,2.5,-29.04,21.85,W,Downs and Perrin 1990
Mystromys albicaudatus,Muridae,93.78,20,30,10,-25,28.07,W,Downs and Perrin 1995
Gerbillus andersoni,Muridae,35.8,28,35,7,32.361,34.55,W,Haim 1984
Gerbillus nanus,Muridae,28.2,33,34,1,32.362,34.556,A,Haim 1984
Dipodillus dasyurus,Muridae,27.6,32,35,3,32.31,34.933,A,Haim 1987
Otomys irroratus,Muridae,111.6,24,28,4,-25.433,28.133,W,Haim and Fairall 1987
