species,tmax (°C),tmin (°C),tmax metric,tmin metric,acclim-ated (Y/N),latitude collected,hemis-phere,altitude >600 m,habitat,phylum,class,order,family,Ref.
Eulamprus kosciuskoi,40.2,2.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Eulamprus quoyi,39.8,6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Gehyra variegata,43.8,6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,61
Hemiergis decresiensis,39.3,9.6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Heteronotia binoei,40.6,9.6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,61
Lampropholis delicata,40.8,4.7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Leiolopisma mustelinum,38.6,5.9,crit.,crit.,Y,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Moloch horridus,42.5,3.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Nannoscincus maccoyi,37,4,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,61
Niveoscincus metallicum,40,2.7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Niveoscincus ocellatum,40.1,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
